RISK_ID,Risk,Impact,Likelihood,Mitigation,Owner,Trigger,Contingency_Plan
R-01,Ground truth insuficiente (datos lab escasos/no representativos),High,Medium,Plan de muestreo mínimo viable; cadena de custodia; cobertura por lotes/transitorios.,QA/Lab,Cobertura < N muestras/lote o gaps prolongados,Limitar a monitorización; replanificar campaña de muestreo
R-02,Deriva de sensores PAT o recalibración insuficiente,High,Medium,Rutina de calibración; control de calidad espectral; drift detection y bloqueo de recomendación.,QA/Instr.,Indicadores QC fuera de umbral; drift sostenido,Activar modo fallback; mantenimiento; recalibrar
R-03,"Calidad de dato OT (missing, timestamps, cambios de tags)",High,Medium,Data contracts; validación de rangos/unidades; pruebas de integración; registro de cambios OT.,OT/IT,% missing > umbral; tags renombrados,Congelar modelo; actualizar diccionario; reprocesar
R-04,Integración OT bloqueada por políticas o ventanas de parada limitadas,Medium,Medium,Arrancar en modo shadow read-only; coordinación con OT; pruebas en DMZ.,OT,Demora en accesos o cambios de firewall,Simular con export historian; posponer despliegue en planta
R-05,Sobrecarga de edge (CPU/GPU/RAM) o latencia alta,Medium,Low,Perfilado; ONNX/TensorRT; batching controlado; límites de frecuencia.,Data/OT,p95 > umbral; throttling,Reducir complejidad de modelo; degradar frecuencia; escalar HW
R-06,Optimización sugiere cambios no aceptables para operación,High,Low,Restricciones hard/soft; reglas de no-recomendación; justificación y revisión humana.,Process,Rechazo recurrente por operador; violaciones en sim,Suspender recomendador; ajustar restricciones; MOC si se requiere
R-07,Riesgo ciber: spoofing/replay/manipulación de datos o modelos,High,Medium,Segregación OT/DMZ; TLS; firma y anti-replay; hardening; logging a SIEM.,OT-Sec,Alertas SIEM; hash mismatch; certificado caducado,Aislar edge; rotar credenciales; rollback a versión segura
R-08,Falsos positivos de drift/OOD generan demasiadas alarmas,Medium,Medium,Calibración de umbrales; hysteresis; evaluación con históricos.,Data/QA,Alarma > X/día sin evento real,Ajuste de umbral; modo silencioso temporal con registro
R-09,Cambios de proceso (nuevas materias primas) invalidan modelos,High,Medium,Detección de cambio; re-entrenamiento; dataset card por campaña.,Process/Data,Nueva campaña de feedstock; KPI cae,Entrenar modelo por campaña; bloquear recomendaciones
R-10,Pérdida de trazabilidad/auditoría,High,Low,Logs inmutables; hash chain; backups; control de acceso.,QA/IT,Eventos sin hash/firma; logs incompletos,Detener despliegues; reconstruir desde fuentes; postmortem
